keys,en,es,es_MX,ja,de,fr,it,pt
FLY_DESC,"Flies up on the first turn, then strikes the next turn. Can also take you to already visited places.",Sube volando en el primer turno y ataca en el siguiente. También puede llevar a lugares ya visitados.,Sube volando en el primer turno y ataca en el siguiente. También puede llevar a lugares ya visitados.,1ターン目に空高く飛び上がり、2ターン目に攻撃する。既に訪れた場所へ移動することもできる。,"Fliegt im ersten Zug auf, greift im nächsten an. Kann auch besuchte Orte anfliegen.","S'envole au premier tour, puis attaque au suivant. Peut aussi se rendre dans des lieux déjà visités.","Vola in alto al primo turno, poi attacca al successivo. Può anche portarti in luoghi già visitati.",Voa no primeiro turno e ataca no seguinte. Também pode levar a lugares já visitados.
BIND_DESC,Binds and squeezes the foe for 2 to 5 turns.,Aprieta y constricta al rival durante 2 a 5 turnos.,Aprieta y constricta al rival durante 2 a 5 turnos.,相手を締め付けて2〜5ターン攻撃し続ける。,Schlingt sich um den Gegner und drückt ihn 2 bis 5 Runden.,Ligote et comprime l'adversaire pendant 2 à 5 tours.,Avvolge e stringe il nemico per 2-5 turni.,Aperta e constricta o adversário por 2 a 5 turnos.
SLAM_DESC,"Slams the foe with a long tail, vine, etc.","Golpea al rival con una cola larga, enredadera, etc.","Golpea al rival con una cola larga, enredadera, etc.",長い尻尾やツルなどで相手をたたきつける。,"Schlägt den Gegner mit einem langen Schwanz, einer Ranke usw.","Frappe l'adversaire avec une longue queue, une liane, etc.","Colpisce il nemico con una coda lunga, una liana, ecc.","Golpeia o adversário com uma cauda longa, trepadeira, etc."
VINE_WHIP_DESC,"Strikes the foe with slender, whiplike vines.",Golpea al rival con enredaderas delgadas como látigos.,Golpea al rival con enredaderas delgadas como látigos.,細くしなやかなツルで相手をたたく。,"Schlägt den Gegner mit schlanken, peitschen-artigen Ranken.",Frappe l'adversaire avec de minces lianes comme des fouets.,Colpisce il nemico con viticci sottili come fruste.,Golpeia o adversário com trepadeiras finas como chicotes.
STOMP_DESC,Stomps the enemy with a big foot. May cause flinching.,Pisotea al enemigo con una pata grande. Puede hacer retroceder.,Pisotea al enemigo con una pata grande. Puede hacer retroceder.,大きな足で踏みつける。相手をひるませることがある。,Stampft mit einem großen Fuß auf den Gegner. Kann zum Zucken führen.,Piétine l'ennemi avec un grand pied. Peut faire reculer.,Calpesta il nemico con una grande zampa. Può far arretrare.,Pisa o inimigo com uma pata grande. Pode causar recuo.
DOUBLE_KICK_DESC,A double-kicking attack that strikes the foe twice.,Un ataque de patada doble que golpea al rival dos veces.,Un ataque de patada doble que golpea al rival dos veces.,相手を2回連続でけとばす。,"Ein doppelter Tritt, der den Gegner zweimal trifft.",Une double attaque de pied qui frappe l'adversaire deux fois.,Un attacco doppio che colpisce il nemico due volte.,Um ataque de chute duplo que golpeia o adversário duas vezes.
MEGA_KICK_DESC,A powerful kick launched with great force.,Una patada devastadora lanzada con gran potencia.,Una patada devastadora lanzada con gran potencia.,強大なパワーで繰り出す、強烈なキック。,Ein verheerender Tritt mit großer Kraft.,Un coup de pied dévastateur lancé avec une grande puissance.,Un calcio devastante sferrato con grande potenza.,Um chute devastador lançado com grande potência.
JUMP_KICK_DESC,"A strong jumping kick. If it misses, the user takes damage.","Un potente salto seguido de una patada. Si falla, el usuario recibe daño.","Un potente salto seguido de una patada. Si falla, el usuario recibe daño.",跳び上がってキックする。外れると自分がダメージを受ける。,"Ein kräftiger Sprung gefolgt von einem Tritt. Verfehlt er, erleidet der Nutzer Schaden.","Un puissant saut suivi d'un coup de pied. En cas d'échec, l'utilisateur subit des dégâts.","Un potente salto seguito da un calcio. Se manca, l'utente subisce danni.","Um salto poderoso seguido de um chute. Se errar, o usuário sofre dano."
ROLLING_KICK_DESC,A fast spinning kick that may cause flinching.,Una patada giratoria rápida que puede hacer retroceder al rival.,Una patada giratoria rápida que puede hacer retroceder al rival.,素早い回転蹴りで相手をひるませることがある。,"Ein schneller Drehtritt, der den Gegner zum Zucken bringen kann.",Un coup de pied tournant rapide qui peut faire reculer l'adversaire.,Un calcio girevole rapido che può far arretrare il nemico.,Um chute giratório rápido que pode causar recuo no adversário.
SAND_ATTACK_DESC,Hurls sand in the foe's face to reduce its accuracy.,Lanza arena a los ojos del rival para bajar su Precisión.,Lanza arena a los ojos del rival para bajar su Precisión.,砂をかけて相手の命中率を下げる。,Wirft Sand in die Augen des Gegners und senkt seine Genauigkeit.,Lance du sable dans les yeux de l'adversaire pour réduire sa Précision.,Lancia sabbia negli occhi del nemico riducendone la Precisione.,Lança areia nos olhos do adversário para reduzir sua Precisão.
HEADBUTT_DESC,A ramming attack that may cause flinching.,Embiste al rival con la cabeza. Puede hacer retroceder.,Embiste al rival con la cabeza. Puede hacer retroceder.,頭突きで相手を攻撃する。ひるませることがある。,Rammt den Gegner mit dem Kopf. Kann zum Zucken führen.,Fonce tête baissée sur l'adversaire. Peut faire reculer.,Si lancia a testa bassa sul nemico. Può farlo arretrare.,Atira-se com a cabeça contra o adversário. Pode causar recuo.
HORN_ATTACK_DESC,Jabs the foe with a sharp horn.,Ataca al rival con un cuerno afilado.,Ataca al rival con un cuerno afilado.,鋭い角で相手を攻撃する。,Greift den Gegner mit einem spitzen Horn an.,Attaque l'adversaire avec une corne acérée.,Attacca il nemico con un corno aguzzo.,Ataca o adversário com um chifre afiado.
FURY_ATTACK_DESC,Jabs the foe with a horn or beak 2 to 5 times.,Embiste al rival de 2 a 5 veces seguidas con el cuerno o el pico.,Embiste al rival de 2 a 5 veces seguidas con el cuerno o el pico.,角やくちばしで２〜５回突き刺す。,Rammt den Gegner 2 bis 5 Mal mit Horn oder Schnabel.,Charge l'adversaire de 2 à 5 fois de suite avec une corne ou un bec.,Colpisce il nemico da 2 a 5 volte con corno o becco.,Ataca o adversário de 2 a 5 vezes com chifre ou bico.
HORN_DRILL_DESC,A one-hit KO attack that drills into the foe like a horn.,Perfora al rival con el cuerno a modo de taladro. Lo noquea de un golpe.,Perfora al rival con el cuerno a modo de taladro. Lo noquea de un golpe.,ドリルのように角を回転させて相手に刺さる。一撃で倒す。,Bohrt dem Gegner das Horn wie einen Bohrer ein und besiegt ihn mit einem Treffer.,Perce l'adversaire avec la corne comme un foret. Le met KO en un coup.,Perfora il nemico con il corno come un trapano. Lo mette KO in un colpo.,Perfura o adversário com o chifre como uma broca. Derrota-o em um único golpe.
TACKLE_DESC,A full-body charge attack against the foe.,Un ataque de cuerpo entero con el que se lanza contra el rival.,Un ataque de cuerpo entero con el que se lanza contra el rival.,全身で相手にぶつかっていく体当たり。,"Ein Ganzkörperangriff, bei dem man sich auf den Gegner stürzt.",Une attaque de tout le corps qui se jette sur l'adversaire.,Un attacco a corpo intero che si scaglia contro il nemico.,Um ataque com o corpo todo que se arremessa contra o adversário.
BODY_SLAM_DESC,Drops onto the foe with full body weight. May cause paralysis.,Se lanza sobre el rival con todo su peso. Puede paralizarle.,Se lanza sobre el rival con todo su peso. Puede paralizarle.,全体重で相手にのしかかる。まひ状態にすることがある。,Wirft sich mit vollem Gewicht auf den Gegner. Kann ihn lähmen.,Se jette sur l'adversaire de tout son poids. Peut le paralyser.,Si lancia sul nemico con tutto il suo peso. Può paralizzarlo.,Arremessa-se sobre o adversário com todo o peso. Pode paralisá-lo.
WRAP_DESC,Wraps and squeezes the foe for 2 to 5 turns.,Envuelve y aprieta al rival durante 2 a 5 turnos.,Envuelve y aprieta al rival durante 2 a 5 turnos.,2〜5ターンの間、相手を巻き付いて攻撃し続ける。,Wickelt sich 2 bis 5 Runden um den Gegner und quetscht ihn.,Enroule autour de l'adversaire et le serre pendant 2 à 5 tours.,Avvolge e stringe il nemico per 2-5 turni.,Envolve e aperta o adversário por 2 a 5 turnos.
TAKE_DOWN_DESC,A reckless charge attack that also hurts the user.,Una potente arremetida que también daña al usuario.,Una potente arremetida que también daña al usuario.,もろともに突進して相手にダメージを与える。自分もダメージを受ける。,"Ein kräftiger Rammstoß, der auch den Anwender trifft.",Une charge puissante qui blesse aussi l'utilisateur.,Una potente carica che danneggia anche l'utente.,Uma investida poderosa que também causa dano ao usuário.
THRASH_DESC,"Rampages for 2 to 3 turns, then leaves the user confused.",Arremete furiosamente durante 2 a 3 turnos. Deja confundido al usuario.,Arremete furiosamente durante 2 a 3 turnos. Deja confundido al usuario.,2〜3ターンの間暴れ続ける。その後、混乱状態になる。,Tobt 2 bis 3 Runden lang. Der Anwender wird danach verwirrt.,Se déchaîne furieusement pendant 2 à 3 tours. Laisse l'utilisateur confus.,Si scatena furiosamente per 2-3 turni. L'utente rimane confuso dopo.,Arremete furiosamente por 2 a 3 turnos. Deixa o usuário confuso.
DOUBLE_EDGE_DESC,"A reckless, life-risking tackle that also hurts the user.",Un arrollador ataque que también daña al usuario.,Un arrollador ataque que también daña al usuario.,捨て身で相手にぶつかる。自分もかなりのダメージを受ける。,"Ein rücksichtsloser Angriff, der auch den Anwender trifft.",Une attaque dévastatrice qui blesse aussi l'utilisateur.,Un attacco devastante che danneggia anche l'utente.,Um ataque devastador que também causa dano ao usuário.
TAIL_WHIP_DESC,Wags the tail to lower the foe's Defense.,Mueve la cola para bajar la Defensa del rival.,Mueve la cola para bajar la Defensa del rival.,しっぽを振って相手の防御を下げる。,Wedelt mit dem Schwanz und senkt die Verteidigung des Gegners.,Agite la queue pour réduire la Défense de l'adversaire.,Agita la coda per abbassare la Difesa del nemico.,Abana a cauda para reduzir a Defesa do adversário.
POISON_STING_DESC,Stabs the foe with a toxic spike. May poison the target.,Ataca con un aguijón venenoso. Puede envenenar al rival.,Ataca con un aguijón venenoso. Puede envenenar al rival.,毒針で刺して攻撃する。どく状態にすることがある。,Greift mit einem Giftstachel an. Kann den Gegner vergiften.,Attaque avec un dard venimeux. Peut empoisonner l'adversaire.,Attacca con un pungiglione velenoso. Può avvelenare il nemico.,Ataca com um ferrão venenoso. Pode envenenar o adversário.
TWINEEDLE_DESC,Stabs the foe twice with a poisonous stinger. May poison.,Pincha al rival dos veces con un aguijón venenoso. Puede envenenarle.,Pincha al rival dos veces con un aguijón venenoso. Puede envenenarle.,毒針で2回続けて刺す。どく状態にすることがある。,Sticht den Gegner zweimal mit einem Giftstachel. Kann vergiften.,Pique l'adversaire deux fois avec un dard venimeux. Peut l'empoisonner.,Punge il nemico due volte con un pungiglione velenoso. Può avvelenarlo.,Pica o adversário duas vezes com um ferrão venenoso. Pode envenenà-lo.
PIN_MISSILE_DESC,Sharp spikes are shot at the foe 2 to 5 times.,Dispara agujas afiladas de 2 a 5 veces seguidas.,Dispara agujas afiladas de 2 a 5 veces seguidas.,鋭い針を2〜5回連続で打ち出す。,Feuert 2 bis 5 scharfe Nadeln in Folge ab.,Tire des aiguilles acérées de 2 à 5 fois de suite.,Lancia aghi affilati da 2 a 5 volte di seguito.,Dispara agulhas afiadas de 2 a 5 vezes seguidas.
LEER_DESC,Glares at the foe to lower its Defense stat.,Mira fijamente a los rivales para bajar su Defensa.,Mira fijamente a los rivales para bajar su Defensa.,鋭い目つきで相手をにらみ、防御を下げる。,Starrt die Gegner an und senkt ihre Verteidigung.,Fixe les adversaires pour réduire leur Défense.,Fissa i nemici per abbassare la loro Difesa.,Olha fixamente para os adversários para reduzir sua Defesa.
BITE_DESC,Bites the foe with sharp fangs. May cause flinching.,Muerde al rival con afilados colmillos. Puede hacerle retroceder.,Muerde al rival con afilados colmillos. Puede hacerle retroceder.,鋭い歯でかみつく。相手をひるませることがある。,Beißt den Gegner mit scharfen Zähnen. Kann ihn zum Zucken bringen.,Mord l'adversaire avec des crocs acérés. Peut le faire reculer.,Morde il nemico con denti affilati. Può farlo arretrare.,Morde o adversário com dentes afiados. Pode causar recuo.
GROWL_DESC,Emits a cute growl to lower the foe's Attack stat.,Emite un gruñido adorable para bajar el Ataque del rival.,Emite un gruñido adorable para bajar el Ataque del rival.,かわいい鳴き声を出して相手の攻撃を下げる。,Gibt ein niedliches Knurren von sich und senkt den Angriff des Gegners.,Émet un grognement adorable pour réduire l'Attaque de l'adversaire.,Emette un verso carino per abbassare l'Attacco del nemico.,Emite um rugido fofo para reduzir o Ataque do adversário.
ROAR_DESC,Lets out a big roar to scare away the foe.,Ruge con fuerza para asustar al rival y hacerle huir.,Ruge con fuerza para asustar al rival y hacerle huir.,大きな鳴き声で相手を驚かせ、追い払う。,"Brüllt laut, um den Gegner zu erschrecken und zu vertreiben.",Rugit fortement pour effrayer et chasser l'adversaire.,Ruggisce forte per spaventare il nemico e farlo fuggire.,Ruge com força para assustar o adversário e fazê-lo fugir.
SING_DESC,A soothing song lulls the foe into a deep sleep.,Una bella melodía que duerme al rival.,Una bella melodía que duerme al rival.,心地よい歌声で相手を眠り状態にする。,"Eine schöne Melodie, die den Gegner einschläfert.",Une belle mélodie qui endort l'adversaire.,Una bella melodia che addormenta il nemico.,Uma bela melodia que adormece o adversário.
SUPERSONIC_DESC,Emits bizarre sound waves that may confuse the foe.,Emite ondas sónicas extrañas que confunden al rival.,Emite ondas sónicas extrañas que confunden al rival.,不思議な超音波を出して相手を混乱状態にする。,"Erzeugt seltsame Schallwellen, die den Gegner verwirren.",Émet d'étranges ondes soniques qui confondent l'adversaire.,Emette strane onde soniche che confondono il nemico.,Emite ondas sônicas estranhas que confundem o adversário.
SONIC_BOOM_DESC,Fires shock waves that always inflict 20 HP of damage.,Lanza ondas de choque que siempre causan 20 PS de daño.,Lanza ondas de choque que siempre causan 20 PS de daño.,衝撃波を放って必ず20ダメージを与える。,"Schickt Schockwellen, die immer 20 KP Schaden verursachen.",Lance des ondes de choc qui infligent toujours 20 PV de dégâts.,Lancia onde d'urto che causano sempre 20 PS di danno.,Lança ondas de choque que causam sempre 20 PS de dano.
DISABLE_DESC,Disables the foe's last used move for several turns.,Deja inservible el último movimiento del rival durante varios turnos.,Deja inservible el último movimiento del rival durante varios turnos.,相手の直前に使った技を数ターン使えなくさせる。,Macht den letzten Zug des Gegners für mehrere Runden unbrauchbar.,Rend inutilisable le dernier mouvement de l'adversaire pendant plusieurs tours.,Rende inutilizzabile l'ultima mossa del nemico per diversi turni.,Inutiliza o último movimento do adversário por vários turnos.
ACID_DESC,Sprays a special corrosive acid. May lower the foe's Defense.,Lanza ácido corrosivo que puede bajar la Defensa del rival.,Lanza ácido corrosivo que puede bajar la Defensa del rival.,強い酸を吐きつける。相手の防御を下げることがある。,"Spuckt ätzende Säure, die die Verteidigung des Gegners senken kann.",Lance un acide corrosif qui peut réduire la Défense de l'adversaire.,Lancia acido corrosivo che può abbassare la Difesa del nemico.,Lança ácido corrosivo que pode reduzir a Defesa do adversário.
EMBER_DESC,Attacks with small flames. May leave the target with a burn.,Ataca con una pequeña llama. Puede quemar al rival.,Ataca con una pequeña llama. Puede quemar al rival.,小さな炎で攻撃する。やけど状態にすることがある。,Greift mit einer kleinen Flamme an. Kann den Gegner verbrennen.,Attaque avec une petite flamme. Peut brûler l'adversaire.,Attacca con una piccola fiamma. Può scottare il nemico.,Ataca com uma pequena chama. Pode queimar o adversário.
FLAMETHROWER_DESC,Shoots a powerful stream of fire that may burn the foe.,Lanza un potente chorro de fuego que puede quemar al rival.,Lanza un potente chorro de fuego que puede quemar al rival.,強い炎を相手に吹きつける。やけど状態にすることがある。,"Speit einen mächtigen Feuerstrahl, der den Gegner verbrennen kann.",Lance un puissant jet de feu qui peut brûler l'adversaire.,Lancia un potente getto di fuoco che può scottare il nemico.,Lança um poderoso jato de fogo que pode queimar o adversário.
MIST_DESC,Covers the user's party with mist to prevent stat reductions.,"Cubre al equipo en niebla, impidiendo que bajen sus estadísticas.","Cubre al equipo en niebla, impidiendo que bajen sus estadísticas.",白い霧をまとって自分の能力の低下を防ぐ。,Hüllt das Team in Nebel und verhindert Statussenkungen.,"Enveloppe l'équipe dans la brume, empêchant toute baisse de stats.","Avvolge il team nella nebbia, impedendo riduzioni delle statistiche.","Cobre a equipe com névoa, impedindo reduções de estatísticas."
WATER_GUN_DESC,Fires a stream of water at the foe.,Lanza un chorro de agua al rival.,Lanza un chorro de agua al rival.,水を勢いよく吹きつけて攻撃する。,Schießt einen Wasserstrahl auf den Gegner.,Lance un jet d'eau sur l'adversaire.,Lancia un getto d'acqua sul nemico.,Lança um jato de água no adversário.
HYDRO_PUMP_DESC,Blasts the foe with a huge volume of water.,Dispara un poderoso chorro de agua al rival.,Dispara un poderoso chorro de agua al rival.,大量の水を激しく打ち出す超高圧の水流で攻撃する。,Schießt einen mächtigen Wasserstrahl auf den Gegner.,Tire un puissant jet d'eau sur l'adversaire.,Spara un potente getto d'acqua sul nemico.,Dispara um poderoso jato de água no adversário.
SURF_DESC,Creates a big wave that hits all Pokémon on the field. Can also cross water.,Crea una gran ola y la lanza sobre todos los combatientes. También puede cruzar masas de agua.,Crea una gran ola y la lanza sobre todos los combatientes. También puede cruzar masas de agua.,大きなうねりを起こして相手を攻撃する。広い水面を渡ることもできる。,Erzeugt eine riesige Welle und schleudert sie auf alle Kämpfer. Kann auch Gewässer überqueren.,Crée une grande vague sur tous les combattants. Peut aussi traverser les étendues d'eau.,Crea una grande onda su tutti i combattenti. Può anche attraversare corsi d'acqua.,Cria uma grande onda sobre todos os combatentes. Também pode atravessar corpos d'água.
ICE_BEAM_DESC,Fires a freezing beam of ice. May freeze the foe.,Dispara un rayo de frío intenso. Puede congelar al rival.,Dispara un rayo de frío intenso. Puede congelar al rival.,冷凍ビームを相手に照射する。こおり状態にすることがある。,Feuert einen Strahl intensiver Kälte ab. Kann den Gegner einfrieren.,Tire un rayon d'intense froid. Peut congeler l'adversaire.,Spara un raggio di freddo intenso. Può congelare il nemico.,Dispara um raio de frio intenso. Pode congelar o adversário.
BLIZZARD_DESC,Hits the foe with an intense blizzard. May freeze the target.,Desencadena una ventisca gélida. Puede congelar al rival.,Desencadena una ventisca gélida. Puede congelar al rival.,猛烈な吹雪で相手を攻撃する。こおり状態にすることがある。,Entfesselt einen eisigen Blizzard. Kann den Gegner einfrieren.,Déchaîne un blizzard glacial. Peut congeler l'adversaire.,Scatena una tormenta di ghiaccio. Può congelare il nemico.,Desencadeia uma nevasca gelada. Pode congelar o adversário.
PSYBEAM_DESC,Fires a peculiar ray that may confuse the foe.,Lanza un rayo psíquico extraño que puede confundir al rival.,Lanza un rayo psíquico extraño que puede confundir al rival.,不思議な光線を放つ。相手を混乱状態にすることがある。,Schießt einen seltsamen Psystrahl. Kann den Gegner verwirren.,Lance un étrange rayon psychique qui peut confondre l'adversaire.,Lancia uno strano raggio psichico che può confondere il nemico.,Lança um raio psíquico estranho que pode confundir o adversário.
BUBBLE_BEAM_DESC,Fires a barrage of bubbles. May lower the foe's Speed.,Dispara un chorro de burbujas que puede bajar la Velocidad del rival.,Dispara un chorro de burbujas que puede bajar la Velocidad del rival.,激しい勢いで泡を発射して攻撃する。相手の素早さを下げることがある。,Feuert einen Strahl aus Blasen. Kann die Geschwindigkeit des Gegners senken.,Tire un jet de bulles qui peut réduire la Vitesse de l'adversaire.,Spara un getto di bolle che può ridurre la Velocità del nemico.,Dispara um jato de bolhas que pode reduzir a Velocidade do adversário.
AURORA_BEAM_DESC,Fires a rainbow-colored beam. May lower the foe's Attack.,Dispara un rayo de aurora multicolor que puede bajar el Ataque del rival.,Dispara un rayo de aurora multicolor que puede bajar el Ataque del rival.,オーロラ色のビームを照射する。相手の攻撃を下げることがある。,Feuert einen farbenfrohen Aurorastrahl. Kann den Angriff des Gegners senken.,Tire un rayon d'aurore multicolore qui peut réduire l'Attaque de l'adversaire.,Spara un raggio aurora multicolore che può ridurre l'Attacco del nemico.,Dispara um raio aurora multicolorido que pode reduzir o Ataque do adversário.
HYPER_BEAM_DESC,The most powerful beam attack. The user must rest on the next turn.,El más poderoso de los rayos. El usuario necesita descansar el turno siguiente.,El más poderoso de los rayos. El usuario necesita descansar el turno siguiente.,最も強力なビームを放つ。次のターンは動けなくなる。,Der stärkste aller Strahlen. Der Anwender muss sich in der nächsten Runde erholen.,Le plus puissant des lasers. L'utilisateur doit se reposer au tour suivant.,Il più potente dei raggi. L'utente deve riposare il turno successivo.,O mais poderoso dos raios. O usuário precisa descansar no próximo turno.
PECK_DESC,Jabs the foe with a hard beak.,Golpea al objetivo con un duro pico.,Golpea al objetivo con un duro pico.,とがったくちばしでつついて攻撃する。,Trifft das Ziel mit einem harten Schnabel.,Frappe la cible avec un bec dur.,Colpisce il bersaglio con un becco duro.,Golpeia o alvo com um bico duro.
