,en,es,es_MX,ja,de,fr,it,pt
FRIENDBALL_DESC,A strange Poké Ball that will make a Pokémon caught with it more friendly toward you immediately.,Una extraña Poké Ball que hará que el Pokémon capturado te tenga más aprecio.,Una extraña Poké Ball que hará que el Pokémon capturado te tenga más aprecio.,これで捕まえたポケモンは、なつき度が高い状態になる不思議なボール。,"Ein seltsamer Pokéball, der dafür sorgt, dass das gefangene Pokémon schnell Freundschaft mit dir schließt.",Une étrange Poké Ball qui rendra un Pokémon capturé avec elle plus amical envers vous.,Una strana Poké Ball che renderà il Pokémon catturato più amichevole nei tuoi confronti.,Uma estranha Poké Bola que fará o Pokémon capturado tornar-se mais amigável com você.
MOONBALL_DESC,A Poké Ball that will make it easier to catch Pokémon that can evolve using a Moon Stone.,Una Poké Ball más eficaz para atrapar Pokémon que evolucionan con una Piedra Lunar.,Una Poké Ball más eficaz para atrapar Pokémon que evolucionan con una Piedra Lunar.,つきのいしで進化するポケモンを捕まえやすくするポケモンボール。,"Ein Pokéball, mit dem es leichter ist, Pokémon zu fangen, die sich mit einem Mondstein entwickeln.",Une Poké Ball facilitant la capture des Pokémon pouvant évoluer grâce à une Pierre Lune.,Una Poké Ball più efficace per catturare Pokémon che si evolvono con una Pietraluna.,Uma Poké Bola mais eficaz para capturar Pokémon que evoluem usando uma Pedra Lunar.
SPORTBALL_DESC,A special Poké Ball used during the Bug-Catching Contests in the Johto region.,Una Poké Ball especial usada en los Concursos de Insectos de la región de Johto.,Una Poké Ball especial usada en los Concursos de Insectos de la región de Johto.,ジョウト地方の虫取り大会で使用される特別なボール。,Ein spezieller Pokéball für die Insektenfang-Wettbewerbe in der Johto-Region.,Une Poké Ball spéciale utilisée lors des Concours de chasse aux insectes dans la région de Johto.,Una Poké Ball speciale usata durante i Concorsi di cattura insetti nella regione di Johto.,Uma Poké Bola especial usada nos Concursos de Captura de Insetos na região de Johto.
NETBALL_DESC,A Poké Ball that works especially well on Water- and Bug-type Pokémon.,Una Poké Ball especialmente eficaz contra Pokémon de tipo Agua y tipo Bicho.,Una Poké Ball especialmente eficaz contra Pokémon de tipo Agua y tipo Bicho.,みずタイプとむしタイプのポケモンに特に効果的なポケモンボール。,"Ein Pokéball, der besonders gut gegen Wasser- und Käfer-Pokémon funktioniert.",Une Poké Ball particulièrement efficace sur les Pokémon de type Eau et Insecte.,Una Poké Ball particolarmente efficace contro Pokémon di tipo Acqua e Coleottero.,Uma Poké Bola especialmente eficaz contra Pokémon do tipo Água e Inseto.
NESTBALL_DESC,A Poké Ball that becomes more effective the lower the level of the wild Pokémon.,Una Poké Ball que se vuelve más eficaz cuanto más bajo sea el nivel del Pokémon salvaje.,Una Poké Ball que se vuelve más eficaz cuanto más bajo sea el nivel del Pokémon salvaje.,野生のポケモンのレベルが低いほど、捕まえやすくなるポケモンボール。,"Ein Pokéball, der umso effektiver ist, je niedriger das Level des wilden Pokémon ist.",Une Poké Ball d'autant plus efficace que le niveau du Pokémon sauvage est bas.,Una Poké Ball che diventa più efficace quanto più basso è il livello del Pokémon selvatico.,Uma Poké Bola que se torna mais eficaz quanto menor for o nível do Pokémon selvagem.
REPEATBALL_DESC,A Poké Ball that is more effective when catching a Pokémon that you've already caught before.,Una Poké Ball más eficaz para atrapar Pokémon que ya hayas capturado antes.,Una Poké Ball más eficaz para atrapar Pokémon que ya hayas capturado antes.,すでに捕まえたことのあるポケモンに対して効果的なポケモンボール。,"Ein Pokéball, der effektiver ist, wenn man ein Pokémon fängt, das man schon zuvor gefangen hat.",Une Poké Ball plus efficace pour attraper un Pokémon que vous avez déjà capturé.,Una Poké Ball più efficace nel catturare un Pokémon che hai già catturato in precedenza.,Uma Poké Bola mais eficaz ao capturar um Pokémon que você já capturou antes.
TIMERBALL_DESC,A Poké Ball that becomes more effective at catching a Pokémon the more actions the target has taken.,Una Poké Ball que se vuelve más eficaz cuantos más turnos pasen en batalla.,Una Poké Ball que se vuelve más eficaz cuantos más turnos pasen en batalla.,バトルで行動を重ねるほど、捕まえやすくなるポケモンボール。,"Ein Pokéball, der umso effektiver wird, je mehr Aktionen im Kampf stattfinden.",Une Poké Ball de plus en plus efficace au fil des actions effectuées en combat.,Una Poké Ball che diventa più efficace quanto più si prolungano le azioni in battaglia.,Uma Poké Bola que se torna mais eficaz quanto mais ações ocorrerem na batalha.
LUXURYBALL_DESC,A particularly comfortable Poké Ball that makes a Wild Pokémon quickly grow friendlier after being caught.,Una Poké Ball particularmente cómoda que hace que el Pokémon salvaje se amiste rápidamente tras ser capturado.,Una Poké Ball particularmente cómoda que hace que el Pokémon salvaje se amiste rápidamente tras ser capturado.,捕まえた野生のポケモンがすぐになついてくれる、特に快適なポケモンボール。,"Ein besonders komfortabler Pokéball, der dafür sorgt, dass ein wildes Pokémon schnell Freundschaft schließt.",Une Poké Ball particulièrement confortable qui fait rapidement gagner l'amitié d'un Pokémon sauvage.,Una Poké Ball particolarmente comoda che fa sì che un Pokémon selvatico diventi rapidamente amico.,Uma Poké Bola particularmente confortável que faz um Pokémon selvagem tornar-se amigo rapidamente.
PREMIEREBALL_DESC,A somewhat rare Poké Ball made to commemorate a special occasion of some sort.,Una Poké Ball poco común fabricada para conmemorar algún tipo de ocasión especial.,Una Poké Ball poco común fabricada para conmemorar algún tipo de ocasión especial.,何かの記念に作られた、やや珍しいポケモンボール。,"Ein etwas seltener Pokéball, der zur Feier eines besonderen Anlasses hergestellt wurde.",Une Poké Ball assez rare fabriquée pour commémorer un événement particulier.,Una Poké Ball piuttosto rara realizzata per commemorare un'occasione speciale.,Uma Poké Bola um pouco rara feita para comemorar uma ocasião especial.
DIVEBALL_DESC,A Poké Ball that works especially well when catching Pokémon while in or on the water.,Una Poké Ball especialmente eficaz para atrapar Pokémon en el agua.,Una Poké Ball especialmente eficaz para atrapar Pokémon en el agua.,水の中や水上にいるときに野生のポケモンを捕まえやすくするポケモンボール。,"Ein Pokéball, der besonders gut zum Fangen von Pokémon im oder auf dem Wasser geeignet ist.",Une Poké Ball particulièrement efficace pour attraper des Pokémon dans ou sur l'eau.,Una Poké Ball particolarmente efficace nel catturare Pokémon mentre si è in acqua o su di essa.,Uma Poké Bola especialmente eficaz para capturar Pokémon na água ou sobre ela.
DUSKBALL_DESC,A Poké Ball that makes it easier to catch Wild Pokémon at night or in dark places like caves.,Una Poké Ball que facilita la captura de Pokémon salvajes de noche o en lugares oscuros.,Una Poké Ball que facilita la captura de Pokémon salvajes de noche o en lugares oscuros.,夜や暗い場所にいる野生のポケモンを捕まえやすくするポケモンボール。,"Ein Pokéball, der das Fangen wilder Pokémon nachts oder an dunklen Orten erleichtert.",Une Poké Ball facilitant la capture des Pokémon sauvages la nuit ou dans des endroits sombres.,Una Poké Ball che facilita la cattura di Pokémon selvatici di notte o in luoghi bui.,Uma Poké Bola que facilita a captura de Pokémon selvagens à noite ou em lugares escuros.
HEALBALL_DESC,"A remedial Poké Ball that restores the caught Pokémon's HP, PP and eliminates any status ailment.","Una Poké Ball medicinal que restaura los PS, PP y elimina las condiciones de estado del Pokémon capturado.","Una Poké Ball medicinal que restaura los PS, PP y elimina las condiciones de estado del Pokémon capturado.",捕まえたポケモンのHPやPPを回復し、状態異常も治す回復系のポケモンボール。,"Ein heilender Pokéball, der HP und PP des gefangenen Pokémon wiederherstellt und Statusproblem beseitigt.",Une Poké Ball curative qui restaure les PS et PP du Pokémon capturé et élimine ses problèmes de statut.,Una Poké Ball curativa che ripristina i PS e PP del Pokémon catturato ed elimina le alterazioni di stato.,Uma Poké Bola curativa que restaura os PS e PP do Pokémon capturado e elimina alterações de estado.
QUICKBALL_DESC,A Poké Ball that is more effective at catching Pokémon when used right at the start of a wild encounter.,Una Poké Ball más eficaz si se usa al inicio de un combate.,Una Poké Ball más eficaz si se usa al inicio de un combate.,バトルの開始直後に使うと捕まえやすくなるポケモンボール。,"Ein Pokéball, der am effektivsten ist, wenn er zu Beginn eines Kampfes eingesetzt wird.",Une Poké Ball plus efficace lorsqu'elle est utilisée au début d'un combat.,Una Poké Ball più efficace se usata all'inizio di una battaglia.,Uma Poké Bola mais eficaz quando usada logo no início de uma batalha.
CHERISHBALL_DESC,A quite rare Poké Ball made to commemorate a special occasion of some sort.,Una Poké Ball bastante rara fabricada para conmemorar algún tipo de ocasión especial.,Una Poké Ball bastante rara fabricada para conmemorar algún tipo de ocasión especial.,何かの記念に作られた、とても珍しいポケモンボール。,"Ein recht seltener Pokéball, der zur Feier eines besonderen Anlasses hergestellt wurde.",Une Poké Ball assez rare fabriquée pour commémorer un événement particulier.,Una Poké Ball abbastanza rara realizzata per commemorare un'occasione speciale.,Uma Poké Bola bastante rara feita para comemorar uma ocasião especial.
PARKBALL_DESC,A special Poké Ball used inside Ramanas' Pal Park.,Una Poké Ball especial usada dentro del Parque Pal de Ramanas.,Una Poké Ball especial usada dentro del Parque Pal de Ramanas.,ラムナスのパルパークの中で使われる特別なポケモンボール。,Ein spezieller Pokéball für den Pal Park von Ramanas.,Une Poké Ball spéciale utilisée à l'intérieur du Pal Park de Ramanas.,Una Poké Ball speciale usata all'interno del Pal Park di Ramanas.,Uma Poké Bola especial usada dentro do Pal Park de Ramanas.
DREAMBALL_DESC,A Poké Ball that makes it easier to catch wild Pokémon while they're asleep. One is said to appear out of nowhere in your bag at the Entree Forest.,Una Poké Ball que facilita la captura de Pokémon salvajes mientras duermen.,Una Poké Ball que facilita la captura de Pokémon salvajes mientras duermen.,眠っている野生のポケモンを捕まえやすくするポケモンボール。,"Ein Pokéball, der das Fangen wilder Pokémon erleichtert, solange sie schlafen.",Une Poké Ball facilitant la capture de Pokémon sauvages pendant leur sommeil.,Una Poké Ball che facilita la cattura di Pokémon selvatici mentre dormono.,Uma Poké Bola que facilita a captura de Pokémon selvagens enquanto dormem.
BEASTBALL_DESC,A special Poké Ball designed to catch Ultra Beasts. It has a extremly low success rate for anything else.,Una Poké Ball especial diseñada para atrapar Ultraentes. Tiene una tasa de éxito muy baja contra Pokémon normales.,Una Poké Ball especial diseñada para atrapar Ultraentes. Tiene una tasa de éxito muy baja contra Pokémon normales.,ウルトラビーストを捕まえるための特別なボール。通常のポケモンには効果がほとんどない。,Ein spezieller Pokéball für Ultra-Kreaturen. Gegen normale Pokémon ist er kaum wirksam.,Une Poké Ball spéciale conçue pour attraper les Chimères. Son taux de réussite est très faible contre les Pokémon normaux.,Una Poké Ball speciale per catturare le Ultra Creature. Ha un tasso di successo molto basso contro i Pokémon normali.,Uma Poké Bola especial para capturar Ultra Criaturas. Tem uma taxa de sucesso muito baixa contra Pokémon normais.
STRANGEBALL_DESC,An unknown Poké Ball that came from a parallel universum.,Una Poké Ball desconocida que llegó de un universo paralelo.,Una Poké Ball desconocida que llegó de un universo paralelo.,並行宇宙からやってきた、正体不明のポケモンボール。,Ein unbekannter Pokéball aus einem Paralleluniversum.,Une Poké Ball inconnue venue d'un univers parallèle.,Una Poké Ball sconosciuta proveniente da un universo parallelo.,Uma Poké Bola desconhecida que veio de um universo paralelo.
