keys,en,es,es_MX,ja,de,fr,it,pt
FLY,Fly,Vuelo,Vuelo,そらをとぶ,Fliegen,Vol,Volo,Voar
BIND,Bind,Constricción,Constricción,しめつける,Einschnüren,Ligotage,Costrizione,Constricção
SLAM,Slam,Golpe,Golpe,たたきつける,Schmettern,Frappe,Botta,Pancada
VINE_WHIP,Vine Whip,Látigo Cepa,Látigo Cepa,つるのムチ,Rankenhieb,Fouet Lianes,Frusta Erbosa,Chicote de Trepadeira
STOMP,Stomp,Pisotón,Pisotón,ふみつけ,Stampfer,Piétisage,Calpestio,Pisão
DOUBLE_KICK,Double Kick,Doble Patada,Doble Patada,にどげり,Doppelkick,Double-Pied,Doppiocalcio,Duplo Chute
MEGA_KICK,Mega Kick,Megapatada,Megapatada,メガトンキック,Megatritt,Méga-Pied,Megacalcio,Megachute
JUMP_KICK,Jump Kick,Salto Patada,Salto Patada,とびげり,Sprungkick,Saut de Pied,Saltocalcio,Salto Chute
ROLLING_KICK,Rolling Kick,Patada Giro,Patada Giro,まわしげり,Drehtritt,Pied-Roue,Calciogiro,Chute Giratório
SAND_ATTACK,Sand Attack,Ataque Arena,Ataque Arena,すなかけ,Sandangriff,Jet de Sable,Sabbia Spray,Ataque de Areia
HEADBUTT,Headbutt,Cabezazo,Cabezazo,ずつき,Kopfstoß,Tête de Mort,Testata,Cabeçada
HORN_ATTACK,Horn Attack,Ataque Cuerno,Ataque Cuerno,つのでつく,Hornangriff,Koud'Korne,Attacco Corno,Ataque de Chifre
FURY_ATTACK,Fury Attack,Furia,Furia,みだれづき,Furienschlag,Furie,Furia,Fúria
HORN_DRILL,Horn Drill,Taladrador,Taladrador,つのドリル,Hornbohrer,Kornkraft,Trapanacorno,Perfurador
TACKLE,Tackle,Placaje,Placaje,たいあたり,Tackle,Charge,Carica,Investida
BODY_SLAM,Body Slam,Golpe Cuerpo,Golpe Cuerpo,のしかかり,Körperwurf,Plaquage,Body Slam,Golpe Corporal
WRAP,Wrap,Constricción,Constricción,まきつく,Einwickler,Enroulement,Avvolgimento,Enrolamento
TAKE_DOWN,Take Down,Derribo,Derribo,とっしん,Ramme,Bélier,Abbattimento,Derrubada
THRASH,Thrash,Pataleta,Pataleta,あばれる,Stampede,Jackpot,Furore,Alvoroço
DOUBLE_EDGE,Double-Edge,Doble Filo,Doble Filo,すてみタックル,Kehrseite,Damoclès,Doppio Spigolo,Golpe Duplo
TAIL_WHIP,Tail Whip,Látigo Cola,Látigo Cola,しっぽをふる,Schwanzfeger,Fouet Queue,Colpo Coda,Chicote Caudal
POISON_STING,Poison Sting,Picadura,Picadura,どくばり,Giftstachel,Dard-Venin,Pungiveleno,Ferrão Venenoso
TWINEEDLE,Twineedle,Doble Aguijón,Doble Aguijón,どくばりキャノン,Doppelstachel,Dard-Poison,Doppiopungiglione,Duplo Ferrão
PIN_MISSILE,Pin Missile,Lanzadera,Lanzadera,ミサイルばり,Nadelrakete,Acupression,Pinzamissile,Míssil de Agulhas
LEER,Leer,Intimidación,Intimidación,にらみつける,Drohblick,Rugissement,Occhiataccia,Intimidação
BITE,Bite,Mordisco,Mordisco,かみつく,Biss,Morsure,Morso,Mordida
GROWL,Growl,Gruñido,Gruñido,なきごえ,Knurren,Grognement,Mugolio,Rugido
ROAR,Roar,Rugido,Rugido,ほえる,Brüllen,Rugissement,Ruggito,Berro
SING,Sing,Canto,Canto,うたう,Gesang,Berceuse,Canto,Canto
SUPERSONIC,Supersonic,Ultrasido,Ultrasido,ちょうおんぱ,Ultraschall,Ultrason,Ultrasuono,Ultrassônico
SONIC_BOOM,Sonic Boom,Explosión Sónica,Explosión Sónica,ソニックブーム,Schallwelle,Boom Sonique,Boomsonico,Explosão Sônica
DISABLE,Disable,Anulación,Anulación,かなしばり,Blockade,Bâillon,Blocco,Desabilitar
ACID,Acid,Ácido,Ácido,ようかいえき,Säure,Acide,Acido,Ácido
EMBER,Ember,Ascuas,Ascuas,ひのこ,Glut,Flammèche,Fiammata,Brasa
FLAMETHROWER,Flamethrower,Lanzallamas,Lanzallamas,かえんほうしゃ,Flammenwerfer,Lance-Flammes,Lanciafiamme,Lança-Chamas
MIST,Mist,Niebla,Niebla,しろいきり,Nebel,Brume,Nebbia,Névoa
WATER_GUN,Water Gun,Pistola Agua,Pistola Agua,みずでっぽう,Wasserkanone,Pistolet à O,Pistolacqua,Pistola d'Água
HYDRO_PUMP,Hydro Pump,Hidrobomba,Hidrobomba,ハイドロポンプ,Hydropumpe,Hydrocanon,Idropompa,Hidrobomba
SURF,Surf,Surf,Surf,なみのり,Surfer,Surf,Surf,Surfe
ICE_BEAM,Ice Beam,Rayo Hielo,Rayo Hielo,れいとうビーム,Eisstrahl,Laser Glace,Raggio Ghiaccio,Raio de Gelo
BLIZZARD,Blizzard,Ventisca,Ventisca,ふぶき,Blizzard,Blizzard,Blizzard,Nevasca
PSYBEAM,Psybeam,Psicorrayo,Psicorrayo,サイケこうせん,Psystrahl,Psyko,Psicoraggi,Raio Psíquico
BUBBLE_BEAM,Bubble Beam,Burbuja,Burbuja,バブルこうせん,Bubbelstrahl,Pistolet Bulle,Getto Bolla,Raio de Bolhas
AURORA_BEAM,Aurora Beam,Rayo Aurora,Rayo Aurora,オーロラビーム,Aurorastrahl,Laser Aurore,Raggio Aurora,Raio Aurora
HYPER_BEAM,Hyper Beam,Hiperrayo,Hiperrayo,はかいこうせん,Hyperstrahl,Ultralaser,Ultraraggio,Hiperrayo
PECK,Peck,Picotazo,Picotazo,つつく,Pikser,Picpic,Beccata,Bicada
DRILL_PECK,Drill Peck,Pico Taladro,Pico Taladro,ドリルくちばし,Bohrschnabel,Picpic Vrille,Beccataladro,Bico Perfurador
SUBMISSION,Submission,Sumisión,Sumisión,じごくぐるま,Unterwerfung,Soumission,Sottomissione,Submissão
LOW_KICK,Low Kick,Patada Baja,Patada Baja,けたぐり,Fußfeger,Balayage,Calciobasso,Chute Baixo
COUNTER,Counter,Contraataque,Contraataque,カウンター,Konter,Riposte,Contrattacco,Contra-Ataque
SEISMIC_TOSS,Seismic Toss,Lanzamiento,Lanzamiento,ちきゅうなげ,Seismischer Wurf,Jet Tellurique,Lancio Sismico,Arremesso Sísmico
STRENGTH,Strength,Fuerza,Fuerza,かいりき,Stärke,Force,Forza,Força
ABSORB,Absorb,Absorber,Absorber,すいとる,Absorber,Vampigraine,Assorbimento,Absorver
MEGA_DRAIN,Mega Drain,Megaagotar,Megaagotar,メガドレイン,Megasauger,Méga-Sangsue,Megaprosciuga,Megadrenagem
LEECH_SEED,Leech Seed,Drenadoras,Drenadoras,やどりぎのタネ,Egelsamen,Vampigraine,Parassiseme,Semente Sanguessuga
GROWTH,Growth,Desarrollo,Desarrollo,せいちょう,Wachstum,Croissance,Crescita,Crescimento
RAZOR_LEAF,Razor Leaf,Hoja Afilada,Hoja Afilada,はっぱカッター,Klingblatt,Tranche-Herbe,Foglielama,Folha Afiada
SOLAR_BEAM,Solar Beam,Rayo Solar,Rayo Solar,ソーラービーム,Solarstrahl,Laser Solaire,Raggio Solare,Raio Solar
POISON_POWDER,Poison Powder,Polvo Veneno,Polvo Veneno,どくのこな,Giftstaub,Poudre Toxik,Polvere Tossica,Pó Venenoso
STUN_SPORE,Stun Spore,Paralizador,Paralizador,しびれごな,Betäubungspuder,Para-Spore,Paralipolvere,Esporo Paralisante
SLEEP_POWDER,Sleep Powder,Somnífero,Somnífero,ねむりごな,Schlafpuder,Poudre Dodo,Sonnifero,Pó Sonífero
PETAL_DANCE,Petal Dance,Danza Pétalo,Danza Pétalo,はなびらのまい,Blütentanz,Danse-Fleurs,Danza Petali,Dança das Pétalas
STRING_SHOT,String Shot,Disparo Demora,Disparo Demora,いとをはく,Fadenschuss,Sécrétion,Sparifilo,Tiro de Fio
DRAGON_RAGE,Dragon Rage,Ira Dragón,Ira Dragón,りゅうのいかり,Drachenzorn,Draco-Rage,Furia del Drago,Fúria do Dragão
FIRE_SPIN,Fire Spin,Giro Fuego,Giro Fuego,ほのおのうず,Feuerwirbel,Tourbifeu,Trottofuoco,Redemoinho de Fogo
THUNDER_SHOCK,Thunder Shock,Impactrueno,Impactrueno,でんきショック,Donnerschock,Éclair,Scossaelettrica,Choque Elétrico
THUNDERBOLT,Thunderbolt,Rayo,Rayo,10まんボルト,Blitz,Tonnerre,Fulmine,Relâmpago
THUNDER_WAVE,Thunder Wave,Onda Trueno,Onda Trueno,でんじは,Donnerblitz,Cage-Éclair,Ondatuono,Onda de Trovão
THUNDER,Thunder,Trueno,Trueno,かみなり,Donner,Fatal-Foudre,Tuono,Trovão
ROCK_THROW,Rock Throw,Lanzarrocas,Lanzarrocas,いわおとし,Steinwurf,Jet-Pierres,Lanciarocce,Lança-Pedras
EARTHQUAKE,Earthquake,Terremoto,Terremoto,じしん,Erdbeben,Séisme,Terremoto,Terremoto
FISSURE,Fissure,Fisura,Fisura,じわれ,Erdspalte,Fissure,Fessura,Fissura
DIG,Dig,Excavar,Excavar,あなをほる,Graben,Tunnel,Scavo,Escavar
TOXIC,Toxic,Tóxico,Tóxico,どくどく,Toxin,Toxik,Tossico,Tóxico
CONFUSION,Confusion,Confusión,Confusión,ねんりき,Konfusion,Choc Mental,Confusione,Confusão
PSYCHIC,Psychic,Psíquico,Psíquico,サイコキネシス,Psychokinese,Psyko,Psichico,Psíquico
HYPNOSIS,Hypnosis,Hipnosis,Hipnosis,さいみんじゅつ,Hypnose,Hypnose,Ipnosi,Hipnose
MEDITATE,Meditate,Meditación,Meditación,ヨガのポーズ,Meditation,Méditation,Meditazione,Meditação
AGILITY,Agility,Agilidad,Agilidad,こうそくいどう,Agilität,Hâte,Agilità,Agilidade
QUICK_ATTACK,Quick Attack,Ataque Rápido,Ataque Rápido,でんこうせっか,Blitzangriff,Vive-Attaque,Attacco Rapido,Ataque Rápido
RAGE,Rage,Rabia,Rabia,いかり,Raserei,Colère,Rabbia,Raiva
TELEPORT,Teleport,Teletransporte,Teletransporte,テレポート,Teleport,Téléport,Teletrasporto,Teletransporte
NIGHT_SHADE,Night Shade,Sombra Noche,Sombra Noche,ナイトヘッド,Nachtschatten,Ombre Nuit,Ombra Notte,Sombra Noturna
MIMIC,Mimic,Mímica,Mímica,ものまね,Mimik,Mimic,Mimica,Mímica
SCREECH,Screech,Chirrido,Chirrido,いやなおと,Kreischen,Cri,Stridio,Chiado
DOUBLE_TEAM,Double Team,Doble Equipo,Doble Equipo,かげぶんしん,Doppelgänger,Clonage,Doppioteam,Equipe Dupla
RECOVER,Recover,Recuperación,Recuperación,じこさいせい,Regeneration,Soin,Recupero,Recuperação
HARDEN,Harden,Fortaleza,Fortaleza,かたくなる,Abhärten,Armure,Indurimento,Endurecimento
MINIMIZE,Minimize,Minimizar,Minimizar,ちいさくなる,Minimieren,Lilliput,Miniaturizza,Minimizar
SMOKESCREEN,Smokescreen,Pantalla de Humo,Pantalla de Humo,けむりまく,Rauchschleier,Rideau,Cortinafumo,Cortina de Fumaça
CONFUSE_RAY,Confuse Ray,Rayo Confuso,Rayo Confuso,あやしいひかり,Irrwisch,Onde Folie,Raggio Confuso,Raio Confuso
WITHDRAW,Withdraw,Refugio,Refugio,からにこもる,Schutzschild,Claquoir,Ritiro,Recuar
DEFENSE_CURL,Defense Curl,Rizo Defensa,Rizo Defensa,まるくなる,Abroller,Coupe-Vent,Arricciatura,Enrolar Defesa
BARRIER,Barrier,Barrera,Barrera,バリアー,Barriere,Barrière,Barriera,Barreira
LIGHT_SCREEN,Light Screen,Pantalla de Luz,Pantalla de Luz,ひかりのかべ,Lichtschutz,Écran Lumière,Schermoluce,Tela de Luz
HAZE,Haze,Neblina,Neblina,くろいきり,Dunstschleier,Purée,Foschia,Névoa
REFLECT,Reflect,Reflejo,Reflejo,リフレクター,Reflektor,Miroir,Riflesso,Reflexo
FOCUS_ENERGY,Focus Energy,Concentración,Concentración,きあいだめ,Fokus-Energie,Jackpot,Concentrazione,Foco de Energia
BIDE,Bide,Aguante,Aguante,がまん,Beiß-Biss,Patience,Resistenza,Resistir
METRONOME,Metronome,Metrónomo,Metrónomo,ゆびをふる,Metronom,Métronome,Metronomo,Metrônomo
MIRROR_MOVE,Mirror Move,Movimiento Espejo,Movimiento Espejo,オウムがえし,Spiegelzug,Mimique,Mossa Speculare,Movimento Espelho
SELF_DESTRUCT,Self-Destruct,Autodestrucción,Autodestrucción,じばく,Selbstzerstörer,Autodestruction,Autodistruzione,Autodestruição
EGG_BOMB,Egg Bomb,Bomba Huevo,Bomba Huevo,タマゴばくだん,Eierbombe,Bombe-Oeuf,Uovobomba,Bomba de Ovo
LICK,Lick,Lametazo,Lametazo,したでなめる,Belecker,Léchage,Leccata,Lambida
SMOG,Smog,Polución,Polución,スモッグ,Smog,Smog,Smog,Smog
SLUDGE,Sludge,Residuos,Residuos,ヘドロこうげき,Schlamm,Gadoue,Melma,Lodo
BONE_CLUB,Bone Club,Maza Ósea,Maza Ósea,ホネこんぼう,Knochenkeule,Osmerang,Clava d'Osso,Clava Óssea
FIRE_BLAST,Fire Blast,Llamarada,Llamarada,だいもんじ,Feuerblast,Lance-Soleil,Fiammata,Labareda
WATERFALL,Waterfall,Cascada,Cascada,たきのぼり,Wasserfall,Cascade,Cascata,Cachoeira
CLAMP,Clamp,Concha,Concha,シェルアーム,Klemmer,Claquoir,Guscio,Concha
SWIFT,Swift,Rapidez,Rapidez,スピードスター,Rasanz,Météores,Rapido,Veloz
SKULL_BASH,Skull Bash,Cabeza de Hierro,Cabeza de Hierro,ロケットずつき,Schädelwumme,Glaciateur,Testataduro,Cabeçada de Ferro
SPIKE_CANNON,Spike Cannon,Cañón de Púas,Cañón de Púas,とげキャノン,Stachelkanone,Canon Pointe,Cannone Spuntoni,Canhão de Espinhos
CONSTRICT,Constrict,Constricción,Constricción,しめつける,Abschnüren,Ligature,Costrizione,Constricção
AMNESIA,Amnesia,Amnesia,Amnesia,わすれる,Amnesie,Amnésie,Amnesia,Amnésia
KINESIS,Kinesis,Cinesia,Cinesia,テレキネシス,Kinese,Kinésie,Cinesi,Cinesia
SOFT_BOILED,Soft-Boiled,Suavizado,Suavizado,タマゴうみ,Weichkocher,Coquelicot,Uomomorbido,Ovinho
HIGH_JUMP_KICK,High Jump Kick,Salto Patada Alta,Salto Patada Alta,とびひざげり,Hochsprungkick,Saut de Pied Haut,Saltocalcioalto,Chute Salto Alto
GLARE,Glare,Mirada Feroz,Mirada Feroz,へびにらみ,Schlangenblick,Œil du Serpent,Sguardo Feroce,Olhar Feroz
DREAM_EATER,Dream Eater,Comesueños,Comesueños,ゆめくい,Traumfresser,Mangeur de Rêves,Mangiosogni,Comedor de Sonhos
POISON_GAS,Poison Gas,Gas Venenoso,Gas Venenoso,どくガス,Giftgas,Gaz Toxik,Gas Velenoso,Gás Venenoso
BARRAGE,Barrage,Paliza,Paliza,たまなげ,Bombardierung,Bastos,Raffica,Rajada
LEECH_LIFE,Leech Life,Chupa Vida,Chupa Vida,きゅうけつ,Sauger,Vampirisme,Succhiavita,Suga-Vida
LOVELY_KISS,Lovely Kiss,Dulce Beso,Dulce Beso,あくまのキッス,Süßes Küsschen,Bisou Doux,Bacio Dolce,Beijo Adorável
SKY_ATTACK,Sky Attack,Ataque Aéreo,Ataque Aéreo,ゴッドバード,Himmelsangriff,Frappe Atlas,Attacco Aereo,Ataque Aéreo
TRANSFORM,Transform,Transformación,Transformación,へんしん,Transformation,Transformation,Trasformazione,Transformação
BUBBLE,Bubble,Burbuja,Burbuja,あわ,Blase,Bulle,Bolla,Bolha
DIZZY_PUNCH,Dizzy Punch,Puño Mareo,Puño Mareo,めまいパンチ,Taumelpunch,Poing Éclair,Pugno Stordente,Soco Tonto
SPORE,Spore,Espora,Espora,キノコのほうし,Spore,Spore,Spora,Esporo
FLASH,Flash,Flash,Flash,フラッシュ,Blitz,Éclair,Flash,Flash
PSYWAVE,Psywave,Psicoonda,Psicoonda,サイコウェーブ,Psywelle,Onde Mentale,Psicoonda,Psicoonda
SPLASH,Splash,Salpicadura,Salpicadura,はねる,Platscher,Trempette,Schizzo,Chapinhar
ACID_ARMOR,Acid Armor,Armadura Ácida,Armadura Ácida,とける,Säurepanzer,Armure Acide,Armatura Acida,Armadura Ácida
CRABHAMMER,Crabhammer,Puño Cangrejo,Puño Cangrejo,クラブハンマー,Krabbenhammer,Marteau Crabe,Martello Granchio,Martelo Caranguejo
EXPLOSION,Explosion,Explosión,Explosión,だいばくはつ,Explosion,Explosion,Esplosione,Explosão
FURY_SWIPES,Fury Swipes,Arañazo Furia,Arañazo Furia,みだれひっかき,Furienkratzer,Griffes Furie,Artigli Furiosi,Arranhas Furiosas
BONEMERANG,Bonemerang,Bumerán Óseo,Bumerán Óseo,ホネブーメラン,Knochenrang,Osmerang,Ossumerang,Osso Bumerangue
REST,Rest,Descanso,Descanso,ねむる,Erholung,Repos,Riposo,Descanso
ROCK_SLIDE,Rock Slide,Avalancha,Avalancha,いわなだれ,Felssturm,Éboulement,Frana,Avalanche de Pedras
HYPER_FANG,Hyper Fang,Hiper Colmillo,Hiper Colmillo,ひっさつまえば,Hyperfang,Hyper Croc,Iperzanna,Hiperpresa
SHARPEN,Sharpen,Afilar,Afilar,かくばる,Schärfen,Affûtage,Affilatura,Afiar
CONVERSION,Conversion,Conversión,Conversión,テクスチャー,Konversion,Conversion,Conversione,Conversão
TRI_ATTACK,Tri Attack,Triataque,Triataque,トライアタック,Tri-Angriff,Triplattaque,Triattacco,Triataque
SUPER_FANG,Super Fang,Superdiente,Superdiente,ちょうおんぱ,Superfang,Grincement,Superzanna,Superpresa
SLASH,Slash,Cuchillada,Cuchillada,きりさく,Slash,Tranche,Fendente,Golpe Cortante
SUBSTITUTE,Substitute,Sustituto,Sustituto,みがわり,Stellvertreter,Paratonnerres,Sostituto,Substituto
STRUGGLE,Struggle,Forcejeo,Forcejeo,わるあがき,Aufbäumen,Lutte,Lotta,Luta
SKETCH,Sketch,Bosquejo,Bosquejo,スケッチ,Skizze,Esquisse,Abbozzo,Esboço
TRIPLE_KICK,Triple Kick,Triple Patada,Triple Patada,トリプルキック,Dreifachkick,Triple Pied,Triplocalcio,Chute Triplo
THIEF,Thief,Ladrón,Ladrón,ゆびをふる,Dieb,Jackpot,Ladro,Ladrão
SPIDER_WEB,Spider Web,Tela Araña,Tela Araña,くものす,Spinnennetz,Toile Araignée,Ragnatela,Teia de Aranha
MIND_READER,Mind Reader,Telépata,Telépata,こころのめ,Gedankenleser,Détection,Telepatia,Leitor Mental
NIGHTMARE,Nightmare,Pesadilla,Pesadilla,あくむ,Albtraum,Cauchemar,Incubo,Pesadelo
FLAME_WHEEL,Flame Wheel,Rueda Fuego,Rueda Fuego,ひのこ,Flammenrad,Roulade Feu,Ruotafuoco,Roda de Fogo
SNORE,Snore,Ronquido,Ronquido,いびき,Schnarchen,Ronflement,Russare,Ronco
CURSE,Curse,Maldición,Maldición,のろい,Fluch,Malédiction,Maledizione,Maldição
FLAIL,Flail,Coletazo,Coletazo,じたばた,Fuchtler,Trépied,Scalciata,Debater-se
CONVERSION_2,Conversion 2,Conversión 2,Conversión 2,テクスチャー2,Konversion 2,Conversion 2,Conversione 2,Conversão 2
AEROBLAST,Aeroblast,Aeroblast,Aeroblast,エアロブラスト,Aeroblast,Aéroblast,Aeroblast,Aeroblast
COTTON_SPORE,Cotton Spore,Espora Algodón,Espora Algodón,わたほうし,Wollflocke,Spore Coton,Spora Cotone,Esporo de Algodão
REVERSAL,Reversal,Inversión,Inversión,きしかいせい,Umkehrung,Renversement,Inversione,Inversão
SPITE,Spite,Rencor,Rencor,いやがらせ,Gehässigkeit,Rancune,Dispetto,Rancor
POWDER_SNOW,Powder Snow,Nieve Polvo,Nieve Polvo,こなゆき,Pudererschnee,Poudreuse,Nevischio,Neve em Pó
PROTECT,Protect,Protección,Protección,まもる,Schutzschild,Abri,Protezione,Proteção
MACH_PUNCH,Mach Punch,Puño Certero,Puño Certero,マッハパンチ,Machpunch,Mach Poing,Pugno Mach,Soco Mach
SCARY_FACE,Scary Face,Cara Susto,Cara Susto,こわいかお,Gruselblick,Trouille,Faccia Paura,Cara Assustadora
FEINT_ATTACK,Feint Attack,Golpe Bajo,Golpe Bajo,ふいうち,Täuschungsangriff,Attrape,Finta,Ataque Fingido
SWEET_KISS,Sweet Kiss,Beso Dulce,Beso Dulce,あまえる,Süßes Küsschen,Bisou Doux,Bacio Dolce,Beijo Doce
BELLY_DRUM,Belly Drum,Tambor,Tambor,はらだいこ,Bauchtrommel,Tambour,Tambureggio,Tambor
SLUDGE_BOMB,Sludge Bomb,Bomba Lodo,Bomba Lodo,ヘドロばくだん,Matschbombe,Bombe Boue,Bomba Melma,Bomba de Lodo
MUD_SLAP,Mud-Slap,Barro,Barro,どろかけ,Lehmklatscher,Éclabouss. Boue,Schizzo Fango,Tapa de Lama
OCTAZOOKA,Octazooka,Octocañón,Octocañón,タコでっぽう,Oktokanone,Octazooka,Ottocannone,Octocanhão
SPIKES,Spikes,Trampa Rocas,Trampa Rocas,まきびし,Stachler,Pics,Aculei,Espinhos
ZAP_CANNON,Zap Cannon,Cañón Eléctrico,Cañón Eléctrico,でんじほう,Blitzkanone,Canon Foudre,Cannone Elettrico,Canhão Elétrico
FORESIGHT,Foresight,Anticipo,Anticipo,みやぶる,Vorahnung,Prescience,Intuizione,Presciência
DESTINY_BOND,Destiny Bond,Lazo Destino,Lazo Destino,みちづれ,Schicksalsband,Lien du Destin,Laccio Fatale,Laço do Destino
PERISH_SONG,Perish Song,Canto Mortal,Canto Mortal,ほろびのうた,Todeslied,Requiem,Canto Morente,Canto Mortal
ICY_WIND,Icy Wind,Viento Hielo,Viento Hielo,こごえるかぜ,Eiswind,Vent Glace,Vento Gelido,Vento Gelado
DETECT,Detect,Detección,Detección,みきり,Detektion,Détection,Detezione,Detecção
BONE_RUSH,Bone Rush,Hueso Furia,Hueso Furia,ホネラッシュ,Knochensturm,Osmerang,Ossofuria,Fúria de Ossos
LOCK_ON,Lock-On,Puntería,Puntería,ロックオン,Einschuss,Verrouillage,Mira Fissa,Mira Fixa
OUTRAGE,Outrage,Enfado,Enfado,げきりん,Tobsucht,Colère,Collera,Fúria
SANDSTORM,Sandstorm,Tormenta Arena,Tormenta Arena,すなあらし,Sandsturm,Tempête de Sable,Tempesta Sabbia,Tempestade de Areia
GIGA_DRAIN,Giga Drain,Gigaagotar,Gigaagotar,ギガドレイン,Gigasauger,Giga-Sangsue,Gigaprosciuga,Gigadrenagem
ENDURE,Endure,Aguantar,Aguantar,こらえる,Ausdauer,Endurance,Resistenza,Aguentar
CHARM,Charm,Encanto,Encanto,メロメロ,Bezirzen,Charme,Fascino,Charme
ROLLOUT,Rollout,Rueda,Rueda,ころがる,Rollout,Jackpot,Rotolata,Rolar
FALSE_SWIPE,False Swipe,Golpe Falso,Golpe Falso,みねうち,Scheinschlag,Jackpot,Finto,Golpe Falso
SWAGGER,Swagger,Bravuconería,Bravuconería,いばる,Angeber,Jackpot,Smargiasso,Arrogância
MILK_DRINK,Milk Drink,Bebeleche,Bebeleche,ミルクのみ,Milchtrinken,Jackpot,Bevilatte,Beber Leite
SPARK,Spark,Chispa,Chispa,スパーク,Funken,Jackpot,Scintilla,Faísca
FURY_CUTTER,Fury Cutter,Cuchilla Furia,Cuchilla Furia,れんぞくぎり,Furienschneider,Jackpot,Furia Tagliente,Cortador Furioso
STEEL_WING,Steel Wing,Ala de Acero,Ala de Acero,はがねのつばさ,Stahlflügel,Jackpot,Ala d'Acciaio,Asa de Aço
MEAN_LOOK,Mean Look,Mal de Ojo,Mal de Ojo,くろいまなざし,Böser Blick,Jackpot,Malocchio,Mau-Olhado
ATTRACT,Attract,Atracción,Atracción,メロメロ,Anziehung,Jackpot,Attrazione,Atração
SLEEP_TALK,Sleep Talk,Sonámbulo,Sonámbulo,ねごと,Schlafrede,Jackpot,Parlasonnno,Falar Dormindo
HEAL_BELL,Heal Bell,Campana Cura,Campana Cura,いやしのすず,Heilglocke,Jackpot,Campanacura,Sino Cura
RETURN,Return,Retribución,Retribución,おんがえし,Rückgabe,Jackpot,Ritorno,Retribuição
PRESENT,Present,Regalo,Regalo,プレゼント,Geschenk,Jackpot,Regalo,Presente
FRUSTRATION,Frustration,Frustración,Frustración,やつあたり,Frust,Jackpot,Frustrazione,Frustração
SAFEGUARD,Safeguard,Velo Sagrado,Velo Sagrado,しんぴのまもり,Schutzschild,Jackpot,Velo Sacro,Véu Sagrado
PAIN_SPLIT,Pain Split,Divide Dolor,Divide Dolor,なやみのたね,Schmerzteiler,Jackpot,Condividi Dolore,Dividir Dor
SACRED_FIRE,Sacred Fire,Fuego Sagrado,Fuego Sagrado,せいなるほのお,Heiliges Feuer,Jackpot,Fuoco Sacro,Fogo Sagrado
MAGNITUDE,Magnitude,Magnitud,Magnitud,マグニチュード,Magnitude,Jackpot,Magnitudo,Magnitude
DYNAMIC_PUNCH,Dynamic Punch,Puño Dinámico,Puño Dinámico,ばくれつパンチ,Dynamikpunch,Jackpot,Pugno Dinamico,Soco Dinâmico
MEGAHORN,Megahorn,Megacuerno,Megacuerno,メガホーン,Megahorn,Jackpot,Megacorno,Megachifre
DRAGON_BREATH,Dragon Breath,Aliento Dragón,Aliento Dragón,りゅうのいぶき,Drachenodem,Jackpot,Soffio Drago,Sopro do Dragão
