keys,en,es,es_MX,ja,de,fr,it,pt
CHARGING_TURN,Charging Turn,Turno de carga,Turno de carga,じゅんびターン,Aufladerunde,Tour de charge,Turno di carica,Turno de carga
FLINCH,Flinch,Retroceso,Retroceso,ひるみ,Rückschrecken,Tressaillement,Balzo,Recuo
BRACING,Bracing,Resistiendo,Resistiendo,こらえる,Standhaft,Résistance,Resistenza,Resistindo
CENTER_OF_ATTENTION,Center of Attention,Centro de atención,Centro de atención,ちゅうもく,Blickfang,Centre d'attention,Centro dell'attenzione,Centro das atenções
MAGIC_COAT,Magic Coat,Manto mágico,Manto mágico,マジックコート,Magiemantel,Cape magique,Manto magico,Manto mágico
PROTECTION,Protection,Protección,Protección,まもる,Schutz,Protection,Protezione,Proteção
SEMI_INVULNERABLE,Semi-Invulnerable,Semivulnerable,Semivulnerable,はんぶんむてき,Halb unverwundbar,Semi-invulnérable,Semi-invulnerabile,Semi-invulnerável
DYNAMAX,Dynamax,Dinamax,Dinamax,ダイマックス,Dynamax,Dynamax,Dynamax,Dinamax
MEGA_EVOLVED,Mega Evolved,Megaevolucionado,Megaevolucionado,メガシンカ,Mega-Entwickelt,Méga-évolué,Megaevoluto,Mega-evoluído
GIGAMAX,Gigantamax,Gigantamax,Gigantamax,キョダイマックス,Gigadynamax,Gigamax,Gigamax,Gigantamax
TERA_STELLARIZED,Terastallized,Terastalizado,Terastalizado,テラスタル,Terakristallisiert,Téracristallisé,Teracristallizzato,Teracristalizado
MYSTERIOUS_BARRIER,Mysterious Barrier,Barrera misteriosa,Barrera misteriosa,ふしぎなバリア,Mysteriöse Barriere,Barrière mystérieuse,Barriera misteriosa,Barreira misteriosa
